source_id,url,host,old_base_tier,old_status,ruled_tier,ruled_class,source_role_at_birth,action
c41446df-9c8e-4e6f-ad7e-05c9f08c9ebb,https://www.goldstandard.org/news/first-large-scale-corsia-retirement-of-gold-standard-carbon-credits-by-a-commercial-airline,goldstandard.org,4,provisional,4,association,,UPDATE
988a09a1-c359-42ed-a4f5-b34dbab90414,https://cyprusshippingnews.com/2025/07/23/new-imo-cii-guidelines-require-seemp-part-iii-revision/,cyprusshippingnews.com,6,provisional,7,news,vendor_corporate,UPDATE
9c079185-6315-4924-b3bf-5e58f599aca5,https://energyadvicehub.org/whats-happening-with-secr/,energyadvicehub.org,6,provisional,6,analysis,,UPDATE
f9c5be81-f2ef-41a9-b12b-09d598a9fb7a,https://energyadvicehub.org/whats-happening-with-the-non-domestic-minimum-energy-efficiency-standards/,energyadvicehub.org,6,provisional,6,analysis,,UPDATE
db3f0b0c-7723-4328-b4b1-ec97008b850e,https://envigilance.com/energy-monitoring/nyc-building-energy-laws/local-law-97/ll97-warehouse/,envigilance.com,6,provisional,7,vendor,vendor_corporate,UPDATE
da70cd92-5479-4fb3-9da4-b8ad3c834d45,https://www.nautilusint.org/en/news-insight/telegraph/norway-introduces-zero-emissions-requirement-from-2026-to-world-heritage-fjords/,nautilusint.org,4,provisional,6,analysis,,UPDATE
978db121-6e1f-446d-89ef-8e46830f0388,https://searoutes.com/2025/10/21/eexi-cii-shipping-sustainability-regulations-2026-2028/,searoutes.com,4,provisional,7,vendor,vendor_corporate,UPDATE
dbcab46e-89a1-4195-8921-9dcb56d0b173,https://www.sustainable-bus.com/news/european-parliament-heavy-duty-co2-regulation-new-credit-calculation/,sustainable-bus.com,6,provisional,7,news,vendor_corporate,UPDATE
4fefc2fd-bd2b-4abb-a730-15733fa4b177,https://atoshipping.com/the-new-imo-carbon-rules-in-2026-how-sea-freight-compliance-is-affecting-global-shipping-costs/,atoshipping.com,7,provisional,7,corporate,vendor_corporate,UPDATE
bb1c5b96-b781-4c19-8e7a-ac98e50bce1e,https://www.circularactionhub.org/certification/brazilian-solid-waste-legislation/,circularactionhub.org,4,active,6,analysis,,UPDATE
05302840-1b1a-4a98-a1c3-c809c19aac12,https://www.sundancetimes.com/story/2026/04/02/news/wyoming-deq-receives-regulatory-authority-for-coal-combustion-residuals-permit-program/12333.html,sundancetimes.com,6,active,7,news,vendor_corporate,UPDATE
8a72f5fe-93d9-4995-918b-838538786d92,https://www.shipzero.com/blog/csrds-ripple-effect-on-transport-and-logistics,shipzero.com,6,active,7,vendor,vendor_corporate,UPDATE
b850506d-6cbb-4bec-bf1c-7a7a9436c51f,https://www.nyk.com/english/news/2023/20230607_01.html,nyk.com,6,provisional,7,corporate,vendor_corporate,UPDATE
29cb64f7-059e-4d81-aa0e-69ec2bd37dde,https://www.ieta.org/uploads/wp-content/2025/09/ieta_business_brief-canada-clean-fuel-regilation-cfr-september_2025finalone.pdf,ieta.org,4,provisional,4,association,,UPDATE
c8d0574d-8ed8-47a7-9cab-133b49081407,https://www.newyorktruckingonline.com/blog/post/required-permits-and-licenses-for-commercial-trucks-in-new-york,newyorktruckingonline.com,7,provisional,7,vendor,vendor_corporate,UPDATE
2f38ac2b-16ae-4852-be6d-fa74d2f861d6,https://www.moefcc-gcp.in/about/aboutGCP,moefcc-gcp.in,1,provisional,2,gov,,UPDATE
af509cf9-f287-431d-b80d-5390f694c6a4,https://knowledge.dlapiper.com/dlapiperknowledge/globalemploymentlatestdevelopments/2026/eu-council-approves-omnibus-i-directive,knowledge.dlapiper.com,7,provisional,7,lawfirm,vendor_corporate,UPDATE
b5fe9c32-35ae-49cf-92c9-397d02a362c9,https://cms.law/en/int/expert-guides/cms-expert-guide-to-hydrogen/united-arab-emirates,cms.law,6,provisional,7,lawfirm,vendor_corporate,UPDATE
fc22dcce-9edb-4559-8ee9-092caa54e9d1,https://www.aoshearman.com/en/insights/nine-key-takeaways-from-the-uaes-new-hydrogen-strategy,aoshearman.com,6,provisional,7,lawfirm,vendor_corporate,UPDATE
e65c6ad0-f9d1-42be-9141-c901b8d7c90d,https://www.china-briefing.com/news/china-carbon-trading-emissions-cap/,china-briefing.com,3,provisional,7,news,vendor_corporate,UPDATE
fe90ae8a-9acc-43a4-bd22-0e898e663ec0,https://japan.influencemap.org/policy/gx-ets-phase-2-5560,japan.influencemap.org,3,provisional,6,analysis,,UPDATE
d169b1a5-36de-4ab4-9a20-8fb5f195930f,https://www.garrigues.com/en_gb/new/publication-directive-eu-2026470-simplifying-corporate-sustainability-reporting-csrd-and-due,garrigues.com,5,provisional,7,lawfirm,vendor_corporate,UPDATE
7c1889a8-97fa-4b6b-b7e6-ba4c36e0b680,https://sustainablefutures.linklaters.com/post/102iqsq/uk-government-consults-on-scope-3-emissions-reporting-and-future-of-secr-regime,sustainablefutures.linklaters.com,5,provisional,7,lawfirm,vendor_corporate,UPDATE
651c7619-3e3e-41ef-babd-fddee1227e1c,https://www.platformelectromobility.eu/2026/01/15/weight-dimensions-directive-prioritising-decarbonisation/,platformelectromobility.eu,4,provisional,6,analysis,industry_association,UPDATE
64e3c3c0-7ebc-4636-be83-e0c2d8ad25e0,https://www.clientearth.asia/latest/news/china-s-new-environmental-code-how-big-of-a-deal-is-it/,clientearth.asia,4,provisional,6,analysis,,UPDATE
09b4266c-3e4a-4b92-b992-58b2b2acb2e7,https://climatecooperation.cn/climate/china-unveils-roadmap-for-absolute-emission-caps-2027-and-2030-milestones-for-national-carbon-markets/,climatecooperation.cn,4,provisional,6,analysis,,UPDATE
ff2186d6-a684-4630-9944-01d0f0c7a95b,https://www.ishkaglobal.com/savi/article/7997/briefing-japans-gx-ets-set-to-bring-carbon-pricing-to-domestic-airlines-from-20,ishkaglobal.com,6,provisional,7,news,vendor_corporate,UPDATE
86757088-b639-4083-8af8-cfeaf19842a4,https://1point5.caneurope.org,1point5.caneurope.org,,,6,analysis,,INSERT
b6976e41-a34f-48a3-a8be-23be3fffffdc,https://balkangreenenergynews.com,balkangreenenergynews.com,,,7,news,trade_press,INSERT
49a80978-1e7c-4501-94c2-262ec3e7912b,https://blakes.com,blakes.com,,,7,lawfirm,vendor_corporate,INSERT
0c940410-184f-4d40-b369-e5ffab53ca14,https://ccarbon.info,ccarbon.info,,,6,analysis,,INSERT
3bd48804-cc75-4469-ace8-a67a7da1e04c,https://ceenergynews.com,ceenergynews.com,,,7,news,trade_press,INSERT
9c95dc6f-76d8-44ea-b5b5-1edaa47a99fc,https://freightcourse.com,freightcourse.com,,,7,vendor,vendor_corporate,INSERT
547877e1-5f89-4d79-b343-d253abac0714,https://morihamada.com,morihamada.com,,,7,lawfirm,vendor_corporate,INSERT
724ffc2b-bbd8-419a-971a-8deeb985886b,https://oneplanetnetwork.org,oneplanetnetwork.org,,,6,analysis,,INSERT
